x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg derived_pos_x derived_pos_y
5.000 7.000 -150.603 -5.000 7.000 -55.112 0.000 -7.000 70.895 0.577 2.527 -164.381 0.532 2.486
5.000 7.000 -150.603 -5.000 7.000 -55.112 0.000 -7.000 70.895 0.577 2.527 -164.381 0.532 2.486
5.000 7.000 -154.983 -5.000 7.000 -58.299 0.000 -7.000 67.239 0.448 2.584 -160.702 0.524 2.579
5.000 7.000 -158.351 -5.000 7.000 -60.392 0.000 -7.000 66.194 0.348 2.617 -158.682 0.382 2.665
5.000 7.000 -161.013 -5.000 7.000 -63.821 0.000 -7.000 65.371 0.212 2.649 -156.738 0.190 2.595
5.000 7.000 -161.999 -5.000 7.000 -65.494 0.000 -7.000 65.788 0.072 2.667 -155.605 0.040 2.538
5.000 7.000 -161.999 -5.000 7.000 -65.494 0.000 -7.000 65.788 0.072 2.667 -155.605 0.040 2.538
5.000 7.000 -167.016 -5.000 7.000 -68.878 0.000 -7.000 62.792 -0.070 2.670 -152.743 -0.064 2.665
5.000 7.000 -172.789 -5.000 7.000 -74.613 0.000 -7.000 58.632 -0.212 2.661 -147.838 -0.201 2.671
5.000 7.000 -177.920 -5.000 7.000 -79.073 0.000 -7.000 55.957 -0.320 2.646 -143.140 -0.386 2.733
5.000 7.000 175.334 -5.000 7.000 -87.332 0.000 -7.000 49.341 -0.463 2.615 -136.305 -0.459 2.623
5.000 7.000 175.334 -5.000 7.000 -87.332 0.000 -7.000 49.341 -0.463 2.615 -136.305 -0.459 2.623
5.000 7.000 169.545 -5.000 7.000 -95.057 0.000 -7.000 44.275 -0.570 2.583 -130.820 -0.598 2.486
5.000 7.000 161.215 -5.000 7.000 -103.171 0.000 -7.000 37.250 -0.710 2.529 -123.305 -0.701 2.517
5.000 7.000 154.829 -5.000 7.000 -109.294 0.000 -7.000 32.398 -0.813 2.481 -117.555 -0.823 2.556
5.000 7.000 144.612 -5.000 7.000 -120.727 0.000 -7.000 23.607 -0.975 2.386 -107.910 -0.992 2.490
5.000 7.000 144.612 -5.000 7.000 -120.727 0.000 -7.000 23.607 -0.975 2.386 -107.910 -0.992 2.490
5.000 7.000 138.440 -5.000 7.000 -130.231 0.000 -7.000 17.943 -1.097 2.296 -100.637 -1.159 2.251
5.000 7.000 133.845 -5.000 7.000 -134.645 0.000 -7.000 12.769 -1.182 2.222 -95.390 -1.103 2.253
5.000 7.000 126.966 -5.000 7.000 -144.052 0.000 -7.000 6.438 -1.285 2.116 -88.814 -1.241 2.067
5.000 7.000 122.795 -5.000 7.000 -149.294 0.000 -7.000 2.232 -1.356 2.030 -84.297 -1.277 1.980
5.000 7.000 122.795 -5.000 7.000 -149.294 0.000 -7.000 2.232 -1.356 2.030 -84.297 -1.277 1.980
5.000 7.000 116.316 -5.000 7.000 -158.762 0.000 -7.000 -2.799 -1.457 1.878 -77.913 -1.502 1.766
5.000 7.000 112.802 -5.000 7.000 -162.777 0.000 -7.000 -5.657 -1.523 1.750 -73.486 -1.573 1.740
5.000 7.000 109.684 -5.000 7.000 -167.191 0.000 -7.000 -8.366 -1.563 1.650 -70.839 -1.651 1.639
5.000 7.000 108.072 -5.000 7.000 -169.952 0.000 -7.000 -11.576 -1.604 1.513 -68.024 -1.557 1.492
5.000 7.000 108.072 -5.000 7.000 -169.952 0.000 -7.000 -11.576 -1.604 1.513 -68.024 -1.557 1.492
5.000 7.000 106.452 -5.000 7.000 -172.212 0.000 -7.000 -12.820 -1.625 1.408 -66.524 -1.609 1.443
5.000 7.000 105.083 -5.000 7.000 -174.981 0.000 -7.000 -13.431 -1.641 1.263 -64.442 -1.717 1.333
5.000 7.000 103.097 -5.000 7.000 -178.427 0.000 -7.000 -16.612 -1.644 1.155 -61.694 -1.665 1.157
5.000 7.000 97.156 -5.000 7.000 174.301 0.000 -7.000 -22.835 -1.632 0.975 -55.159 -1.683 1.014
