x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg landAB_derive_pos_x landAB_derive_pos_y landBC_derive_pos_x landBC_derive_pos_y landCA_derive_pos_x landCA_derive_pos_y
5.000 7.000 23.367 -5.000 7.000 90.297 0.000 -7.000 -117.395 -0.406 -0.560 30.638 -0.479 -0.543 -0.374 -0.398 -0.354 -0.752
5.000 7.000 19.784 -5.000 7.000 87.784 0.000 -7.000 -123.073 -0.298 -0.549 35.211 -0.189 -0.410 -0.243 -0.487 -0.249 -0.317
5.000 7.000 11.818 -5.000 7.000 79.546 0.000 -7.000 -133.204 -0.116 -0.516 43.906 -0.078 -0.450 -0.080 -0.454 -0.080 -0.446
5.000 7.000 5.074 -5.000 7.000 72.535 0.000 -7.000 -140.436 0.028 -0.474 51.223 0.005 -0.489 -0.088 -0.628 -0.091 -0.344
5.000 7.000 5.074 -5.000 7.000 72.535 0.000 -7.000 -140.436 0.028 -0.474 51.223 0.005 -0.489 -0.088 -0.628 -0.091 -0.344
5.000 7.000 -0.384 -5.000 7.000 67.877 0.000 -7.000 -148.460 0.134 -0.435 56.970 0.135 -0.375 0.174 -0.316 0.171 -0.427
5.000 7.000 -7.173 -5.000 7.000 59.766 0.000 -7.000 -156.975 0.272 -0.371 64.824 0.213 -0.559 0.244 -0.509 0.240 -0.599
5.000 7.000 -13.818 -5.000 7.000 55.886 0.000 -7.000 -162.698 0.371 -0.316 70.597 0.303 -0.172 0.247 -0.257 0.253 -0.104
5.000 7.000 -20.920 -5.000 7.000 47.622 0.000 -7.000 -174.388 0.525 -0.209 79.667 0.565 -0.308 0.551 -0.331 0.554 -0.293
5.000 7.000 -20.920 -5.000 7.000 47.622 0.000 -7.000 -174.388 0.525 -0.209 79.667 0.565 -0.308 0.551 -0.331 0.554 -0.293
5.000 7.000 -25.725 -5.000 7.000 44.400 0.000 -7.000 -178.231 0.583 -0.162 83.278 0.485 -0.102 0.616 0.104 0.586 -0.234
5.000 7.000 -33.210 -5.000 7.000 37.288 0.000 -7.000 173.405 0.717 -0.033 91.526 0.658 -0.034 0.611 -0.110 0.622 0.011
5.000 7.000 -38.865 -5.000 7.000 32.369 0.000 -7.000 166.918 0.810 0.078 97.445 0.771 0.077 0.684 -0.064 0.706 0.155
5.000 7.000 -41.959 -5.000 7.000 28.928 0.000 -7.000 161.126 0.872 0.167 101.366 0.892 0.051 0.940 0.133 0.924 0.013
5.000 7.000 -41.959 -5.000 7.000 28.928 0.000 -7.000 161.126 0.872 0.167 101.366 0.892 0.051 0.940 0.133 0.924 0.013
5.000 7.000 -47.397 -5.000 7.000 26.095 0.000 -7.000 156.409 0.942 0.291 106.045 0.976 0.395 0.981 0.403 0.979 0.392
5.000 7.000 -50.049 -5.000 7.000 23.087 0.000 -7.000 153.524 0.986 0.388 108.856 0.975 0.351 0.986 0.370 0.982 0.343
5.000 7.000 -54.502 -5.000 7.000 19.712 0.000 -7.000 149.853 1.041 0.555 112.537 0.928 0.474 1.018 0.619 0.990 0.406
